,participant,condition,scenario,cf_1,counterfactual_1_FirstCoder,counterfactual_1_SecondCoder,counterfactual_1_difference,counterfactual_1_resolved,cf_2,counterfactual_2_FirstCoder,counterfactual_2_SecondCoder,counterfactual_2_difference,counterfactual_2_resolved
30,44,1,hospital,Dr. Jones had more thoroughly investigated the results of the emails,2_2,2_3,X,2_2,Dr. Smith had read the other 9 emails,2_2,2_2,,
31,45,3,bakery,Sandra had researched all of her emails,2_2,2_2,,,Anne had read all of her emails,2_2,2_2,,
32,46,3,bakery,they were told that it contained traces of nuts,2_4,2_4,,,they checked more than one email,2_1,2_1,,
33,48,1,hospital,Thw doctor had checked all of the emails ,2_2,2_2,,,The doctor had looked at all of the emails ,2_2,2_2,,
34,51,2,garden,IF ALEX DOES NOT USE THE FERTILIZER SPLENDOR THE BOURBON ROSES WOULD NOT HAVE DIED,1,1,,,BOB DOES NOT USE THE FERTILIZER NUTRIT THE CHINA ROSES WOULD NOT HAVE DIED,1,1,,
35,52,1,hospital,"If the doctor would have looked through all emails before coming to a conclusion, then the patient would not have suffered leg cramps. He should have checked all email test results instead of just looking at the first email. ",2_2,2_2,,,"If Dr. Smith would have looked at the remaining emails, the patient would not have suffered the leg cramps. The doctor should have looked at all 10 emails to get a better understanding about the side effects. ",2_2,2_2,,
36,53,1,hospital,Checked  better ,2_2,2_3,X,2_2,The  doctor had checked better he would have known it causes leg cramps .,2_2,2_3,,
37,54,1,hospital,Dr. had prescribed the other drug,1,1,,,Dr. Smith had prescribed the other drug,1,1,,
38,56,2,garden,Alex had known that 'Splendor' harms the Bourbon rose or if it were the case that 'Splendor' does not harm the Bourbon rose ,2_0,2_0,,,Bob knew what would happen or if nutrit didn't harm china roses,2_0,2_0,,
39,57,1,hospital, If Dr smith looked at all the emails he would have known the side effects and not administered the medicine ,2_2,2_2,,," If Dr Smith took the time to read the rest of the Email's, he would have known about the side effects and then the patient would not have suffered the leg cramps",2_2,2_2,,
40,59,3,bakery,Sandra is aware of that the “Harvest” flour contains traces of walnuts,2_0,2_0,,,Anne is aware of that the “Homestead” flour contains traces of hazelnuts,2_0,2_0,,
41,60,1,hospital,Doctor Jones had read all the emails,2_2,2_2,,,the doctor had read the rest of the emails,2_2,2_2,,
42,62,1,hospital,Dr Jones's responsibility is to check all the official mails.But he didn't. Due to his lethargic the patient got suffered.,2_2,2_2,,,Doctor is the only responsibility for the side effect.Dr.Smith need to be attentive before give some medicine to the patients.,2_2,3,X,3
43,65,2,garden,"If a person analyzes all the emails and forward the result to the employees, the result would be different.",2_3,2_4,X,2_4,Seeing all emails from initiates in single batch outcome would be different,2_3,2_2,X,2_2
44,68,3,bakery,"If Harvest had more consistent testing procedures, the customer would not have suffered an allergic reaction.",4,4,,,"If Anne had bothered to read the remaining emails, the customer would not have suffered an allergic reaction.",2_2,2_2,,
45,69,2,garden,had read all emails,2_2,2_2,,,Bob had read even one more email,2_1,2_1,,
46,71,3,bakery,"Sandra looked at ALL of the emails...maybe because the last email stated that Harvest contains traces of walnuts, she could have thought differently and not use Harvest because of that last email even though most of the emails said there was not traces of walnuts.",2_2,2_2,,,"Anne would have only looked at least the next few (if not, all) the emails, she would have known that Homestead had traces of hazelnuts, and therefore, probably would not have used Homestead.",2_1,2_1,,
47,72,3,bakery,Sandra had checked all her emails,2_2,2_2,,,Anne had checked her emails,2_2,2_2,,
48,74,1,hospital,the doctor checked more emails,2_2,2_2,,,he checked more emails,2_1,2_1,,
49,77,1,hospital,"If DR Jones had read all e-mails or if the hospital sent something more informative and alerting on one of the emails and he read it, he would not have prescribed Afibo and the problem wouldn't happen. ",2_2,2_2,,,IF DR Smith read any of the other 9 emails or if the hospital sent something more alerting he wouldn't prescribe Corus and therefore the patient would not have suffered leg cramps,2_1,2_1,,
50,78,3,bakery,"If Sandra saw all the emails, the customer would not have suffered an allergic reaction.",2_2,2_2,,,"If Anne were more careful and read all the emails, she would know that it contains traces of hazelnuts, so the customer would not have suffered an allergic reaction.",2_2,2_2,,
51,79,2,garden,Alex could have read all 10 emails and known that Splendor could harm the Bourbon roses.,2_2,2_2,,,Bob could have looked at one more email and knew that Nutrit could cause harm to China roses.,2_1,2_1,,
52,80,3,bakery,Sandra had checked every email and read the last one,2_2,2_2,,,"Anne had checked her email and seen the other emails, ",2_2,2_2,,
53,82,3,bakery,"If she read all the emails, then the customer would not have suffered an allergic reaction.",2_2,2_2,,,If Anne had read the other emails then the customer would not have suffered an allergic reaction.,2_2,2_2,,
54,86,3,bakery,Sandra had looked into every single e-mail or made a sign that says there could be trace's of nuts in this ,2_2,2_2,,,Anne had been more thorough in checking her E-mail,2_2,2_3,X,2_2
55,88,3,bakery,Sandra check thoroughly,2_2,2_3,X,2_2,Anna did her work very well,3,3,,
56,89,2,garden,If Alex would have looked at all ten emails he would have known that using that would possibly make the roses die,2_2,2_2,,,"If Bob would have read all emails, he would have know that this chemical kills the China Rose",2_2,2_2,,
57,91,2,garden,If Alex have read all the e-mails from the first one until the last one the Bourbon roses would not have died.,2_2,2_2,,,If Bob have spent more time while reading the e-mails and haven't stopped after reading only the first e-mail the China roses would not have died.,2_1,2_1,,
58,95,3,bakery,Sandra would of read all her emails or the testing lab had been more prudent and responsible in sending the results in a proper way then Sandra would of been aware,2_2,2_2,,,Anne had checked her emails or if the testing lab had been more prudent in sending the results in a proper manner,2_2,2_2,,
59,96,2,garden,"If Alex had read all the emails about Splendor, he would have chosen not to use it on the Bourbon roses and they would still be alive.",2_2,2_2,,,If Bob had read all the emails about Nutrit he would have known not to use it on the China roses and they would not have died.,2_2,2_2,,
60,97,1,hospital,"Dr Jones did not have administered “Afibo""",1,1,,,Dr Smith administers  “Corus”,1,1,,
61,98,1,hospital,THE PATIENT WOULD HAVE TOLD ABOUT THE LEG CRAMPS TO DR JONES HE MAY ALSO GIVE SOME MEDICINES TO CURE LEG CRAMPS SO,2_4,4,X,3,THE PATIENT WOULD HAVE TOLD ALREADY TO DR SMITH ABOUT LEG CRAMPS HE WOULD HAVE ALSO GIVE SOME MEDICINES FOR CURING LEG CRAMPS  SO,3,4,X,3
62,101,1,hospital,Dr. Smith was more thorough,3,3,,,Dr. Smith was not so lazy,3,3,,
63,104,2,garden,Alex read the other emails,2_2,2_2,,,Bob read the other emails,2_2,2_2,,
64,105,1,hospital,"If the doctor would have simply done her job and read every email instead of assuming, she would have prevented the leg cramps",2_2,2_2,,,"If the doctor had read any other email than the first one, the patient would not have suffered leg cramps.",2_1,2_1,,
65,106,1,hospital,the emails were summarized to save time,2_4,2_4,,,the results were summarized in one email,2_4,2_4,,
66,107,2,garden,Alex had read all the emails and realized that there is potential harm from Splendor and never used it,2_2,2_2,,,"bob had read the rest of the emails stating ""Nutrit"" is harmful ",2_4,2_2,X,2_2
67,109,3,bakery,If Sandra could have looked at all the emails she would have known that there was a chance Harvest had walnut traces. She would have used the White Mill flour and the customer would not have suffered an allergic reaction.,2_2,2_2,,,"If Anne had checked all the emails she would not have used Green Farms, and the customer would not have suffered the allergic reaction.",2_2,2_2,,
68,110,3,bakery,she had read all 10 of the emails,2_2,2_2,,,Anne had read all 10 of the emails,2_2,2_2,,
69,111,3,bakery,Sandra checked all her emails,2_2,2_2,,,Anna read more than one email,2_1,2_1,,
70,113,1,hospital,Dr Jones administers “Afibo” to that patient. The drug helps to prevent the patient’s onset of thrombosis,0,1,X,0,Dr Smith administers onset of thrombosis,0,1,X,0
71,115,3,bakery,Sandra had looked at the other emails and seen that the flour contains nuts,2_2,2_2,,,Anne had read the other emails,2_2,2_2,,
72,116,3,bakery,Sandra would have checked all the emails of the test result,2_2,2_2,,,Anne would have checked the other emails of the test result,2_2,2_2,,
73,118,2,garden,"if Alex have read all the email, the Bourbon roses would not have to died ",2_2,2_2,,,"if bob have read the other 9 email,thr China roses would not have died ",2_2,2_2,,
74,119,3,bakery,"If Sandra checked ALL emails, she would have known the last test resulted in positive traces of walnuts.",2_2,2_2,,,"If Anne was diligent and read all her emails, she would know it contained traces of hazelnuts in the next 9 tests. ",2_2,2_2,,
75,121,2,garden,Alex opened all e-mails,2_2,2_2,,,"Bob read the remaining e-mails
",2_2,2_2,,
76,123,2,garden,If Alex did not have fertilized Bourbon roses with “Splendor”,1,missing,,,If Bob did not have fertilized china rose with “Nutrit”,1,missing,,
77,125,2,garden,alex does not use the splendor fertilizer,1,missing,,,bob does not use the nutrit fertilizer,1,missing,,
78,126,1,hospital,"If Dr. Jones does not use new blood thinner ""Afibo"" then, the patient would not have suffered leg cramps.",1,missing,,,"another blood group, the patient would not have suffered leg cramps.",4,missing,,
79,128,2,garden,Alex had read all of the emails and perhaps tested the new fertilizer himself the roses might not have died. It would also have help to just in general have a better test.,2_2,2_2,,,If Bob had looked at the other emails he could have prevented the death.,2_2,2_2,,
80,131,1,hospital,If Dr. Jones did not have administered “Afibo”,1,1,,,"If Dr. Smith did not have administerd ""Corus""",1,1,,
81,133,2,garden,"If Alex had read all of the emails he would have realized that in some instances the new fertilizer would cause the Bourbon roses to die, but not in many instances. He could have chosen to not use the new fertilizer on the off chance that they were one of the roses that would die. ",2_2,2_2,,,"If Bob had paid attention, been patient, and read all 10 of the test result emails, the China roses would not have died.",2_2,2_2,,
82,134,3,bakery,Sandra would have checked all of the emails,2_2,2_2,,,Anne would have checked all of the emails,2_2,2_2,,
83,135,3,bakery,the company that conducted the test of nut content in the flour used a more direct approach of informing the public of the Harvest product nut content,2_4,4,X,2_4,"Anne had read an additional email, after the first one, she would have been aware of the trace amount of hazelnut detected and",2_1,2_1,,
84,137,1,hospital,If Dr.Jones did not  have administered “Afibo”,1,1,,,If Dr.Smith did not have administered “Corus”,1,1,,
85,138,3,bakery,sandra does not use the harvest flour on the cake,1,1,,,anne does not use the homestead flour for the cake,1,1,,
86,139,1,hospital,"If Dr. Jones had checked all the tests, he would have found that the new drug causes cramps in people of type B negative blood.",2_2,2_2,,,"If Dr. Smith had checked all the tests, he would have found that the new drug causes cramps in people of type B negative blood.",2_2,2_2,,
87,144,3,bakery,"Sandra had continued reading all the emails,",2_2,2_2,,,"Anne had read all of the emails, ",2_2,2_2,,
88,146,3,bakery,he had read all ten emails,2_2,2_2,,,she had read another one of the emails,2_1,2_1,,
89,147,3,bakery,she had read all ten emails,2_2,2_2,,,she had read another email,2_1,2_1,,
90,148,1,hospital,"I believe the patient would have still suffered leg cramps. Even If Dr. Jones continued with all 10 e-email, only one had a positive reading. Which may not of been accurate. ",2_2,0,2_2,0,"Dr. Smith could have prevented this by reading more than one e-mail regarding the blood thinner ""Corus"".",2_1,2_1,,
91,149,2,garden,he had read all ten emails,2_2,2_2,,,he had read any of the other emails,2_1,2_1,,
92,151,2,garden,he had read all ten emails,2_2,2_2,,,he had read any of the other emails,2_1,2_1,,
93,156,2,garden,"If Alex saw all tests, the Bourbon roses would not have died.",2_2,2_2,,,"If Alex saw all the tests, the China roses would not have died.",2_2,2_2,,
94,159,1,hospital,"The Dr. should have read about the 10 results and not just the one and this would not have happened, so I think it is his fault",2_2,2_2,,,would have read the lab results ,2_2,2_3,X,2_2
95,160,3,bakery,sandra went through all the emails,2_2,2_2,,,amy checked any of the other emails as well,2_1,2_1,,
96,161,2,garden,"If Alex had checked all emails, he would know that there is a chance that Splendor kills the roses and would have been more careful.",2_2,2_2,,,"If Bob had read all the emails, he could have taken better care of the China Roses.",2_1,2_2,X,2_2
97,162,2,garden,"Alex fertilizes the ""Splendor"". ",1,1,,,Bob fertilizes the “Nutrit”,1,1,,
98,163,1,hospital,Dr Jones administers “Afibo” to,1,1,,,Dr Smith administers “Corus” to,1,1,,
99,167,1,hospital,the patient didn't have pre-existing health problems which required the intervention of medicine,4,4,,,the patient didn't have pre-existing health problems which required the intervention of medicine,4,4,,
100,168,1,hospital,"Dr. Jones had checked all the emails, they would have known that there was a chance that the drug would have caused leg cramps and would have known not to have administered it",2_2,2_2,,,"Dr. Smith had done his due diligence and checked all the emails, he would have known not to administer the drug",2_2,2_2,,
101,169,3,bakery,Sandra read all her emails,2_2,2_2,,,Anne checked all of her emails,2_2,2_2,,
102,171,2,garden,"If Alex does not use the new fertilizer ""Splendor"" then, the Bourbon roses would not have died.",1,1,,,"If bob does not use the fertilizer ""Nutrit"" then, the China roses would not have died.",1,1,,
103,172,2,garden,"If Alex had read all of the emails instead of just assuming the first one was the only one they needed to read then they would have known that it was harmful.  While they weren't aware of it because they didn't read all of the emails, the fact is that all of the emails should have been read and they should have known had they read them all as they should have.",2_2,2_2,,,Bob had bothered to check even one more email then he would have seen that it had negative effects and they would not have died.,2_1,2_1,,
104,173,1,hospital,had not administered Afibo,1,1,,,did not administer Corus,1,1,,
105,175,3,bakery,"Sandra had been better instructed to read the e-mails throughly or, if already instructed, she had done her job more carefully...",2_4,2_4,,,Anne had been a bit more careful and thorough...,3,3,,
106,176,3,bakery,she had read all ten emails,2_2,2_2,,,she had read any of the other emails,2_1,2_1,,
107,177,1,hospital,Doctor Jones had read all 10 of the emails regarding Afibo ,2_2,2_2,,,Doctor Smith had read more than one of the emails about Corus,2_1,2_1,,
108,180,3,bakery,Sandra does not uses the “Harvest” flour for the cake,1,1,,,Anne does not uses“Homestead” flour for the cake,1,1,,
,,,,,,,,,,,,,
,,,,,,,9,,,,,11,
