StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q38,Q39,Q40,Q41,H_Check_fact_1,H_Check_know_1,H_C_1_1,H_CF_1,H_Check_fact_2,H_Check_know_2,H_C_2_1,H_CF_2,G_Check_fact_1,G_Check_know_1,G_C_1_1,G_CF_1,G_Check_fact_2,G_Check_know_2,G_C_2_1,G_CF_2,B_Check_fact_1,B_Check_know_1,B_C_1_1,B_CF_1,B_Check_fact_2,B_Check_know_2,B_C_2_1,B_CF_2,Age,Gender,Q390,condition,order
21/08/2020 15:30,21/08/2020 15:46,0,157.49.204.192,100,988,1,21/08/2020 15:46,R_ROaKpZjYCW97omB,,,,,12.97210693,77.59329224,anonymous,EN,Emma,,,,,1,2,5,"Because the drug “Afibo” has only recently been ordered, Dr Jones does not know that this drug causes mild leg cramps in patients with blood type ‘AB-positive",1,1,6,"If suffered mild leg cramps,Dr Smith administers Corus to that patient. The drug helps to prevent the patient’s onset of thrombosis, but the patient also suffers from mild leg cramps.",,,,,,,,,,,,,,,,,40,1,,1,2
21/08/2020 15:36,21/08/2020 15:48,0,76.104.104.130,100,766,1,21/08/2020 15:48,R_DAjKvqP9dmhePkJ,,,,,37.17939758,-77.38580322,anonymous,EN,Emma,,,,,,,,,,,,,1,2,6,"If Bob had known about the negative effect of Nutrit on the China roses, he might not have used it and the China roses would not have died. It is always good when working with plants to research everything that you use on them before hand. It would be better not to fertilize them than to put something on them that causes their death.",1,1,6,"If Alex had not fertilized the Bourbon roses with Splendor,  the Bourbon roses would not have died. Alex should not have used the product Splendor. It would have been better not to fertilize the rose at all.",,,,,,,,,71,2,"In the first scenario, the last question asked was how easy or difficult it was to imagine that Alex would not use Nutrit on the Bourbon roses. The product in question in that story was Splendor so it was a bit confusing. ",2,2
21/08/2020 15:31,21/08/2020 15:50,0,106.198.30.224,100,1118,1,21/08/2020 15:50,R_OxRTTiWZfRFIYnv,,,,,11.00750732,76.96710205,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,1,2,7,Anne did't use Homestead product ,1,1,7,Sandra didn't used Harvest ,28,1,No issue.,3,1
21/08/2020 15:41,21/08/2020 15:50,0,69.206.94.117,100,546,1,21/08/2020 15:50,R_3dPKHSpaMwb1ei7,,,,,41.37860107,-74.6690979,anonymous,EN,,,,Noah,,,,,,,,,,1,2,7,Bob had known that the new fertilizer “Nutrit” harms China roses he would not have used it and,1,1,7,"Alex had not fertilized the Bourbon roses with the fertilizer ""Splendor""",,,,,,,,,72,2,You used the fertilizer name 'Nutrit' in both instances even though there had been no mention of same in the first scenario. ,2,2
21/08/2020 15:40,21/08/2020 15:52,0,71.68.101.187,100,704,1,21/08/2020 15:52,R_1C4qEEQObwjSic5,,,,,35.19470215,-80.7440033,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,1,2,7,"The bakery manager would have informed Anne about buying Homestead flour and its possible traces of hazelnut, Anne wouldn't have used and/or sold the customer the baked goods and they wouldn't have had an allergic reaction.",1,1,7,"Sandra would have informed the customer that her flour contains traces of nuts so she cannot sell a nutfree cake to her, the customer would not have bought the cake, and would not have suffered a reaction.",56,2,none,3,1
21/08/2020 15:44,21/08/2020 15:52,0,98.192.156.105,100,481,1,21/08/2020 15:52,R_27D3vcbf20BabrX,,,,,30.48049927,-84.22429657,anonymous,EN,,Benjamin,,,,1,2,4,"If Dr. Jones had conducted more research on Afibo, then patient would not have suffered leg cramps.",1,1,6,"If this person did not have B-negative blood type, the patient would not have suffered leg cramps. This is a known side effect for people with B-negative blood types.",,,,,,,,,,,,,,,,,42,2,,1,2
21/08/2020 15:37,21/08/2020 15:53,0,104.187.45.183,100,930,1,21/08/2020 15:53,R_2XcgQ69aCtHIlsg,,,,,39.7696991,-89.68859863,anonymous,EN,,,Ava,,,1,2,7,more research had been done on the drug and its side effects by the doctor or the hospital,1,1,7,the doctor hadn't given the drug to the patient,,,,,,,,,,,,,,,,,40,2,,1,1
21/08/2020 15:31,21/08/2020 15:53,0,223.182.226.70,100,1354,1,21/08/2020 15:53,R_eLHYJcO0vrLsbbH,,,,,11.34280396,77.72738647,anonymous,EN,,,Ava,,,1,2,1,if the doctor knows about afino about leg cramps the patient would not have suffered leg cramps.,1,1,5,sorguin is giving for treatment the patient would not have suffered leg cramps.,,,,,,,,,,,,,,,,,24,1,no issues.,1,2
21/08/2020 15:50,21/08/2020 15:54,0,168.235.70.73,100,198,1,21/08/2020 15:54,R_12akVmbm0Iy6F7a,,,,,37.75100708,-97.8219986,anonymous,EN,Emma,,,,,,,,,,,,,,,,,,,,,1,2,4,Homestead wasn't used,1,1,5,Harvest was not used,31,1,,3,1
21/08/2020 15:57,21/08/2020 16:03,0,98.252.140.93,100,349,1,21/08/2020 16:03,R_2QVsKVwdoC3cZjt,,,,,33.72279358,-83.99759674,anonymous,EN,Emma,,,,,1,2,6,the doctor researched the drug,1,1,6,the doctor choose Sanguin ,,,,,,,,,,,,,,,,,28,1,,1,2
21/08/2020 15:58,21/08/2020 16:03,0,76.221.209.152,100,312,1,21/08/2020 16:03,R_3nTd7bwXykh9d15,,,,,42.3157959,-85.17990112,anonymous,EN,,,,,James,,,,,,,,,1,2,7,"If someone had told Bob that the fertilizer hurts this type of rose, the China roses would not have died.",1,1,7,"Alex had avoided using the Splendor fertilizer and instead used the fertilizer he normally used, the Bourbon roses would not have died",,,,,,,,,34,4,"The first one with Alex mentions ""Nutrit"" but that type of fertilizer was NOT for that scenario, it was for the second one with Bob. So it was impossible to actually answer that question.",2,2
21/08/2020 16:12,21/08/2020 16:17,0,192.180.87.254,100,288,1,21/08/2020 16:17,R_6SBwyyfTIYcBIpr,,,,,40.64259338,-83.61509705,anonymous,EN,Emma,,,,,,,,,,,,,,,,,,,,,1,2,5,according to the customer choice.,1,2,6,that may be his choice,33,1,good,3,2
21/08/2020 16:05,21/08/2020 16:31,0,122.174.195.111,100,1543,1,21/08/2020 16:31,R_AbPrVgRAcGQm0JX,,,,,13.08599854,80.27508545,anonymous,EN,,,,,James:,,,,,,,,,1,2,6,"Nutrit fertilizer,",1,2,7,Flora  fertilizer,,,,,,,,,32,1,no,2,1
21/08/2020 16:19,21/08/2020 16:44,0,174.110.1.116,100,1493,1,21/08/2020 16:44,R_xtlQ6wKaA1iu8hz,,,,,35.02760315,-78.97090149,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,1,2,5,The flour had been labelled more clearly.,1,1,7,Sandra had been doing her job,32,1,,3,1
21/08/2020 16:31,21/08/2020 16:50,0,122.174.69.87,100,1135,1,21/08/2020 16:50,R_2xznpGJEIkqsLUP,,,,,13.08599854,80.27508545,anonymous,EN,,Benjamin,,,,1,1,7, blood-thinning drug “Heparine”,1,1,5," treating a patient ""Sanguin """,,,,,,,,,,,,,,,,,32,1,no,1,2
21/08/2020 16:51,21/08/2020 16:57,0,122.174.178.18,100,369,1,21/08/2020 16:57,R_2WulcBSKmou3pLJ,,,,,13.08599854,80.27508545,anonymous,EN,,Benjamin,,,,,,,,,,,,1,1,6,nitax fertilizer,1,1,7,flora fertilizer,,,,,,,,,32,1,no,2,1
21/08/2020 16:58,21/08/2020 17:03,0,122.174.250.99,100,301,1,21/08/2020 17:03,R_2EcSnQaJInQlS6q,,,,,13.08599854,80.27508545,anonymous,EN,Emma,,,,,,,,,,,,,1,1,6,nutrit fertilizer,1,1,6,vitax fertilizer,,,,,,,,,32,1,no,2,2
21/08/2020 17:14,21/08/2020 17:18,0,72.65.252.103,100,238,1,21/08/2020 17:18,R_2D1VbHu742WAPyV,,,,,40.42359924,-79.98249817,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,1,2,7,If Anne would have did her due diligence on the flour brand then she would have found out that there were traces of hazelnut before ordering it.,1,1,7,If Sandra would have warned the customer that there were traces of walnuts in it before making the order then the customer will not have had an allergic reaction because they wouldn't have ordered that product.,33,1,,3,1
21/08/2020 17:25,21/08/2020 17:28,0,45.46.245.193,100,132,1,21/08/2020 17:28,R_2ZUozzzeMGDIVUF,,,,,42.66540527,-77.06210327,anonymous,EN,,,Ava,,,,,,,,,,,1,2,6,Bob had not used that fertilizer,1,1,6,Alex would have not used that fertilizer,,,,,,,,,36,1,,2,2
21/08/2020 17:36,21/08/2020 17:40,0,76.107.34.15,100,231,1,21/08/2020 17:40,R_32PyZQ0eMh86tKF,,,,,32.39039612,-93.71170044,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,1,2,7,Anne reviewed the ingredients to warn customers,1,1,7,Sandra listed allergens on her ingredients,41,1,,3,1
21/08/2020 17:27,21/08/2020 17:40,0,157.50.98.121,100,812,1,21/08/2020 17:40,R_2thuOVx4ZrjtA3I,,,,,13.08599854,80.27508545,anonymous,EN,,Benjamin,,,,1,2,6,""" If the patient did not take 'Afibo' , the patient would not have suffered leg cramps.""",1,1,7,"""If the patient did not take 'Corus' , the patient would not have suffered leg cramps""",,,,,,,,,,,,,,,,,34,2,NO,1,2
21/08/2020 17:49,21/08/2020 17:52,0,107.129.43.221,100,186,1,21/08/2020 17:52,R_3gYiTkwhZoRPEOo,,,,,38.79870605,-90.50340271,anonymous,EN,,,,Noah,,,,,,,,,,1,1,6,Bob told his boss about the negative effect of Nutrit,1,1,6,Alex brought up the negative effect of Splendor to his boss,,,,,,,,,32,1,"Both questions asked the exact same thing, just different names.",2,2
21/08/2020 17:42,21/08/2020 17:55,0,66.222.54.93,100,743,1,21/08/2020 17:55,R_10T8mnJfq7fzhfr,,,,,42.70089722,-88.54620361,anonymous,EN,,Benjamin,,,,1,2,7,"If Dr. Jones had known that Afibo had side effects, he would not have administered it and the patient would not have suffered leg cramps.",1,1,7,"If Dr. Smith had not administered Corus, the patient would not have suffered leg cramps.",,,,,,,,,,,,,,,,,40,2,,1,1
21/08/2020 17:58,21/08/2020 18:19,0,122.174.174.246,100,1298,1,21/08/2020 18:19,R_26eVivLsdef8VzN,,,,,13.08599854,80.27508545,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,1,1,6,Green Farms,1,1,6,white milk,30,2,no,3,2
21/08/2020 18:22,21/08/2020 18:38,0,171.49.183.60,100,983,1,21/08/2020 18:38,R_2OT2q2VE93iHG8k,,,,,13.08599854,80.27508545,anonymous,EN,Emma,,,,,,,,,,,,,,,,,,,,,1,1,7,white milk,1,1,6,green farms,32,1,no,3,1
21/08/2020 18:27,21/08/2020 18:38,0,157.49.252.88,100,685,1,21/08/2020 18:38,R_2QG4zEzhTESqD54,,,,,12.97210693,77.59329224,anonymous,EN,,,,Noah,,1,1,7,"best treating a patient"".heparine"" ",1,1,7,best blood-thinning drug “Sanguin” by recommended for  Dr Smith,,,,,,,,,,,,,,,,,30,2,no,1,1
21/08/2020 19:59,21/08/2020 19:59,0,209.0.51.62,100,24,1,21/08/2020 19:59,R_0p06001qXIEUlcR,,,,,37.75100708,-97.8219986,anonymous,EN,,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2020 20:01,21/08/2020 20:02,0,209.0.51.62,100,32,1,21/08/2020 20:02,R_239uBym4lzfnh80,,,,,37.75100708,-97.8219986,anonymous,EN,,,AVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2020 20:02,21/08/2020 20:09,0,209.0.51.62,100,394,1,21/08/2020 20:09,R_3fAGAkuz2efTJTo,,,,,37.75100708,-97.8219986,anonymous,EN,,,,,James,,,,,,,,,1,1,6,enna pantrathu do theriyala ,1,1,4,your teth is very bad sorry but no answer,,,,,,,,,47,2,bad answer,2,2
22/08/2020 02:19,22/08/2020 02:25,0,189.174.64.186,100,360,1,22/08/2020 02:25,R_1oc2Fmbea5QA0e9,,,,,20.99079895,-86.93920135,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,1,2,7,If the person responsible for purchasing the basic baking ingredients had done their due diligence and had not purchased flour with traces of nuts the customer would not have had an allergic reaction.,1,1,7,"If Sandra had not baked the customer a cake using that flour, the customer would not have had an allergic reaction.",28,1,,3,1
21/08/2020 15:32,21/08/2020 15:42,0,172.111.198.87,92,623,0,24/08/2020 10:52,R_1MWhj4bZwlTQDNh,,,,,,,anonymous,EN,Emma,,,,,,,,,,,,,,,,,,,,,1,2,,,1,1,7,If Sanda used the White Mill flour for backing then the customer would not have had an allergic reaction. ,,,,3,2
21/08/2020 16:52,21/08/2020 16:55,0,108.210.16.216,15,178,0,24/08/2020 10:52,R_2QyTYOPDdaXqO1n,,,,,,,anonymous,EN,,,,,James,1,2,6,the Doctor had read about the drug more,,,,,,,,,,,,,,,,,,,,,,,,1,1
21/08/2020 15:34,21/08/2020 15:35,0,157.49.204.192,81,28,0,24/08/2020 10:53,R_3M3YbH07T5OlOlA,,,,,,,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2
24/08/2020 14:23,24/08/2020 14:26,0,107.167.234.149,100,192,1,24/08/2020 14:26,R_3HOn4BDcmk7Qlam,,,,,36.13420105,-82.41629791,anonymous,EN,Emma,,,,,,,,,,,,,1,2,3,Bob would have read information about the new fertilizer,1,1,7,He did not use the new fertilizer,,,,,,,,,50,2,,2,2
24/08/2020 14:25,24/08/2020 14:27,0,69.253.66.208,100,163,1,24/08/2020 14:27,R_6FLIOtBwafemFJn,,,,,40.2684021,-75.39029694,anonymous,EN,,,,Noah,,1,2,3,Dr Jones had done additional research on the drug,1,1,7,Dr Smith had told the patient the side effects and asked their opinion on what drug they wanted,,,,,,,,,,,,,,,,,25,1,,1,1
24/08/2020 14:24,24/08/2020 14:28,0,24.239.91.36,100,249,1,24/08/2020 14:28,R_2y1mmF6qpAWxMS7,,,,,41.09959412,-80.75229645,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,1,2,2,Anne could have been more careful and researched the new flour to make sure that it was nut free. ,1,1,7,Sanda could have used the flour that she knew did not contain traces of walnut or told the customer she could not make a cake without having allergens. ,38,2,NA,3,2
24/08/2020 14:24,24/08/2020 14:28,0,67.189.49.225,100,222,1,24/08/2020 14:28,R_307WlSHkTlyZvkj,,,,,45.48049927,-122.6362991,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,1,2,7,Anne had been more knowledgeable about her product,1,1,7,Sandra had used a correct flour,32,1,,3,2
24/08/2020 14:23,24/08/2020 14:28,0,73.17.14.96,100,302,1,24/08/2020 14:28,R_3qJpIvrhABXvXyF,,,,,41.6026001,-72.97650146,anonymous,EN,,Benjamin,,,,1,2,2,"If the patient was prescribed the original drug, the patient would not have suffered leg cramps. If Dr. Jones was trained about the effects of the the new drug, the patient would not have suffered leg cramps.",1,1,4,"If Dr. Smith wanted to prescribe the more expensive drug, the patient would not have suffered leg cramps. If Dr. Smith thought the original drug would have worked better, the patient would not have suffered leg cramps.",,,,,,,,,,,,,,,,,26,1,,1,1
24/08/2020 14:23,24/08/2020 14:28,0,47.30.173.17,100,339,1,24/08/2020 14:28,R_3KSG5dYoZqSSLWC,,,,,28.65040588,77.23721313,anonymous,EN,,,,Noah,,1,2,5,"Hospital had given full detail of new drug, including its side effects, to doctors",1,1,7,Doctor had chosen not to give new drug and instead had given old drug,,,,,,,,,,,,,,,,,27,1,,1,1
24/08/2020 14:24,24/08/2020 14:29,0,67.8.193.168,100,297,1,24/08/2020 14:29,R_3Mn8svUH7g0U5AV,,,,,28.90249634,-81.2480011,anonymous,EN,Emma,,,,,1,1,1,he advised the patient of the leg cramps and checked blood type it would be avoided,1,1,1,"the persons blood type was checked before then, then the patient would not have suffered leg cramps. Things could have been smoother",,,,,,,,,,,,,,,,,50,2,,1,2
24/08/2020 14:26,24/08/2020 14:29,0,72.68.27.29,100,196,1,24/08/2020 14:29,R_1rJFDiHTKtvMRgH,,,,,40.84620667,-74.70559692,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,1,2,6,Anne's boss had made his employees aware that the Homestead brand had traces of hazelnuts,1,1,7,Sandra's boss had never replaced the old brand of flour with Harvest,39,1,no comments,3,1
24/08/2020 14:23,24/08/2020 14:30,0,103.44.96.234,100,404,1,24/08/2020 14:30,R_2QVQDpl1s2wRS3G,,,,,11.00750732,76.96710205,anonymous,EN,,Benjamin,,,,,,,,,,,,1,1,5,fertilizes the China roses with the fertilizer,1,1,6,Bourbon roses with the fertilizer Splendor,,,,,,,,,25,1,No issues found,2,2
24/08/2020 14:24,24/08/2020 14:30,0,157.49.226.94,100,359,1,24/08/2020 14:30,R_3nuODbr4DkdhKXs,,,,,12.97210693,77.59329224,anonymous,EN,,,,,James,,,,,,,,,1,2,5,"Bob avoided the new fertilizer, the China rose would not have died. ",1,1,7,"Alex have a mercy in his heart, the Bourbon rose would not have died. ",,,,,,,,,46,1,,2,1
24/08/2020 14:23,24/08/2020 14:30,0,157.34.68.242,100,419,1,24/08/2020 14:30,R_3HY30ILHEna0Qgh,,,,,22.71629333,75.831604,anonymous,EN,,,,,James,,,,,,,,,1,2,2,the manager of the garden provided realtime information about the changes happening in the garden via an app the china roses would not have died.,1,1,7,"the manager did ethical checks and love towards plants as a measure before recruiting Alex, the Bourbon roses would not have died.",,,,,,,,,23,1,No comments.,2,1
24/08/2020 14:23,24/08/2020 14:30,0,216.186.159.106,100,411,1,24/08/2020 14:30,R_2tlZ1BZlCZUrStI,,,,,27.78700256,-82.67610168,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,1,2,1,"If Ann had know that Homestead flour contained traces of hazelnuts, she could have used Green Farms flour so the customer would not have had an allergic reaction.",1,1,7,"If Sandra has used White Mill flour, which has no trace of nuts, the customer would not have had an allergic reaction.",64,2,,3,2
24/08/2020 14:28,24/08/2020 14:32,0,140.186.218.74,100,193,1,24/08/2020 14:32,R_2WTJU4j2RfOnoqq,,,,,46.89070129,-96.92579651,anonymous,EN,Emma,,,,,,,,,,,,,1,2,1,Bob knew about the Nutrit,1,1,7,Alex care more about everything,,,,,,,,,30,2,,2,1
24/08/2020 14:29,24/08/2020 14:32,0,107.134.81.242,100,157,1,24/08/2020 14:32,R_24PpECzNVZrSBGW,,,,,41.56790161,-87.53800201,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,1,2,3,The manufacture didn't change the recipe,1,1,5,Sandra didn't use the flour,29,1,,3,1
24/08/2020 14:23,24/08/2020 14:32,0,24.5.217.12,100,581,1,24/08/2020 14:32,R_1hRcsNIHyMFShEl,,,,,37.76179504,-121.9132996,anonymous,EN,Emma,,,,,,,,,,,,,,,,,,,,,1,2,4," If Anne took the time to review the ingredients, but the Homestead flour didn't say anything about hazelnuts, then the sentence would be completed as ""If Homestead's label had been accurate, the customer ....""

If Anne was irresponsible and forgot to read the Homestead flour label, the the sentence would be completed as ""If Anne took the time to read the label, then the customer ...""",1,1,7,"""If Sandra was responsible and didn't use the Harvest flour that contained nuts, the customer ...""",55,2,,3,1
