Column1,participant,condition,scenario,cf_externally_caused,code_1,cf_self_caused,code_2
90,101,3,bakery,the manager had not relied on email or required confirmations from employees that they read the email,2_4,Anne had read the email or if the manager had required confirmation from employees that they read the email,2_2
91,102,2,garden,"Alex would of read the label of the fertilizer,",2_5,Bob had read the e-mail,2_2
92,103,2,garden,Alex did not fertilize the roses ,1,Bob read the email,2_2
93,104,2,garden,he looked in his email spam folder,X,,
94,105,3,bakery,She could have read the email or even the bag itself or ask the company she got it from,2_2,she could have read the email or the bag,2_2
95,106,2,garden,it were the case that Alex knew that Splendor harms Bourbon roses,2_1,it had been the case that Bob knew that Nutrit harms China roses,2_1
96,107,1,hospital,"If Dr. Jones had done her own research on the drug Afibo before prescribing it, the patient would not have suffered leg cramps.",2_5,"If Dr. Smith had read the email, the patient would not have suffered leg cramps.",2_2
97,111,2,garden,"If the email was not marked as spam and automatically deleted, the Bourbon roses would not have died.",2_3,If Bob had read the email then the China roses would not have died.,2_2
98,112,2,garden,"If the manager checked to see that Alex received his email, the Bourbon roses would not have died.",2_4,"If Bob would have read his email and followed the instructions, the China roses would not have died.",2_2
99,113,2,garden,the manager spoke to all employees directly instead of emailing them,2_4,Bob would've read his email,2_2
100,114,1,hospital,"Dr. Jones email service didn't have a bug,the email stating the side effect would have been seen and read and",2_3,Dr. Smith would have read the email about Corus,2_2
101,116,2,garden,the manager had ordered the same fertilizer brand that was safer,4,Bob had just taken the time to read the email instead of ignoring it,2_2
102,118,3,bakery,"If the manager had let Sandra know about the new flour in person, the customer would not have suffered an allergic reaction.",2_4,If Anne had read the email she would not have used the new flour and the customer would not have suffered an allergic reaction.,2_2
103,119,3,bakery,some high range toxic will be produced,0,she have an complete rest on them,0
104,120,3,bakery,"If the bakery manager had checked if Sandra read her email, the customer would not have suffered an allergic reaction.",2_4,"If Anne had read her email, the customer would not have suffered an allergic reaction.",2_2
105,124,3,bakery,Sandra's email service provider hadn't falsely marked the email as spam,2_3,Anne had read the email in her inbox,2_2
106,125,2,garden,If Alex had received the email he would not have used the new fertilzer and the roses would not have died.,2_3,If Bob had read the email from the garden manager he would have known not to use the new fertilizer and the China roses would not have died.,2_2
107,126,1,hospital,"the new email system would have been better tested, and not have flagged the email as spam, Dr. Jones would have seen the email about the leg cramps and prescribed the alternate drug, and",2_3,"Dr Smith had read the email, she would have known that this patient, with their B-Negative blood type, should have been prescribed Sanguin instead of Corus, then,",2_2
108,127,2,garden,"If Alex had looked up information on Splendor, he would have found out it harms the Bourbon rose and would not have used it, and the Bourbon roses would not have died.",2_5,"If Bob had read the email he would have known Nutrit harms the China roses and would not have used it, and the China roses would not have died.",2_2
109,128,1,hospital,had not updated the email service,2_3,had opened the email,2_2
110,129,2,garden,The E-mail service had worked correctly and Alex had been able to read the E-mail,2_3,Bob would have been more careful in checking his work E-mail,2_2
111,130,2,garden,"If Alex had checked his spam email or read the warnings on the bottle, or did some research before using the new fertilizer, the Bourbon roses would not have died.",X,"If Bob had checked his emails, used the old fertilizers, did his research or read the warnings, the China roses would not have died.",2_2
112,131,3,bakery,if the email didn't get marked as spam the customer would not have suffered an allegeric reaction,2_3,If the email was read and understood about the ingredients in the product steps could have been taken so the customer would not have suffered an allergic reaction.,2_2
113,132,3,bakery,"The manager made sure the employees got the email, or told them in person",2_4,Anne had read the email,2_2
114,133,3,bakery,the email from the manager hadn't been marked as spam,2_3,Annie had read her emails,2_2
115,134,1,hospital,the email hadn't been marked as spam,2_3,Dr. Smith had read the email,2_2
116,135,1,hospital,the email had been working properly,2_3,"If Dr Smith read their email, then it would be known to cause leg cramps. then they could give another drug or find a way to lessen the discomfort.",2_2
117,136,2,garden,he had checked the spam folder,X,bothered to read his email,2_2
118,137,3,bakery,she would have read her email,2_2,the baker would have read her email,2_2
119,138,1,hospital,Dr Jones would have read the email and gave him the other drug instead,2_2,she would have read the email and didn't prescribe the drug,2_2
120,139,1,hospital,dr jones read the email,2_2,dr smith read the email,2_2
121,140,3,bakery,"the person who sent the email had reached out to everyone to ensure they understood the risks, Sandra would have been alerted to the walnut content in the flour and ",2_4,"Anne had read the email, she would have known not to use Harvest flour and ",2_2
122,141,1,hospital,"If the patient would have been prescribed Heparine, the patient would not have suffered leg cramps.",1,"If the patient would have been prescribed Sanguin, the patient would not have suffered leg cramps.",1
123,142,2,garden,Alex have read the email,2_2,Bob have read the email,2_2
124,143,2,garden,"If the manager had made sure that the information about the new fertilizer reached his employees, like with a meeting, the roses wouldn't have died.",2_4,Not switching from Vitax to Nutrit would have prevented the roses from dying. Bob reading the email from the garden manager probably would have prevented the roses from dying.,1
125,144,2,garden,Alex had gotten the email,2_3,Bob had read the email he got,2_2
126,145,1,hospital,If Dr Jones checked her spam she would have known the new drug side effects and could have given the patient another option.,X,"If Dr. Smith would have read the e-mail about the new drugs, she would have known there could have been mild leg cramps from patients with B-negative blood. Had she known this, she could have offered that patient the medicine they used to administer. ",2_2
127,146,3,bakery,the email was not marked as spam,2_3,Anne read the email,2_2
128,147,1,hospital,the email had not been marked as spam,2_3,Dr.Smith had read the email,2_2
129,148,2,garden,"Alex had done a bit more research before using the new product, ",2_4,Bob had done a bit more research before using the product,2_5
130,151,2,garden,"If the email had not been marked as spam, Bob would have been able to read it and the Bourbon roses would not have died.",2_3,"If Bob had stopped to read the email, he would have known the new fertilizer would harm the China rose, and the China roses would not have died.",2_2
131,152,3,bakery,harvest ensured  buyers knew about their products by requesting the customers respond to insure they knew incase emails were sent to spam they could have called  or sandra should have reached out to ensure it was safe for everyone,4,anne read the email should would have known and,2_2
132,153,2,garden,"Even if he didn't get the email, he could have enquired about the new fertilizer before using it. ",2_5,Bob is responsible of taking care of roses. Because they are special he could have been a little more careful when using a new fertilizer. He could have asked someone knowledgeable about it before using it even if he didn't read email.,2_5
133,154,1,hospital,"if the routine medication has been changed, it would be necessary for everyone who used the new medication to seek to know the possible side effects for it. So, the doctor should have tried to find out about the side effects, so that he could use the medication.",4,The doctor should have checked his emails about medications so he wouldn't make any mistakes,2_2
134,155,1,hospital,the server upgrade had not messed up the emails,2_3,Dr Smith had happened to have read their emails thoroughly,2_2
135,156,1,hospital,The drug has not applied,1,Dr. Smith has rad the email ,2_2
136,157,2,garden,the spam filter didn't mark the email as spam,2_3,Bob would have read the email,2_2
137,158,3,bakery,sandra knew,2_1,she was aware of the situation,2_1
138,159,3,bakery, have inquired about Sandra Harvest,2_5,Anne had checked the e-mail,2_2
139,160,2,garden,"If Alex did not fertilizes the Bourbon roses with the fertilizer ""Splendor"",the Bourbon roses would not have died.""",1,"If Bob did not fertilizes the China roses with the fertilizer ƒ??Nutrit,the China roses would not have died.",1
140,161,3,bakery,"If Sandra would have read the label on the new flour or asked the bakery manager about the new flour and if it was ok to use, the customer would not have suffered an allergic reaction",2_5,"If Anne would have been responsible and read her emails and learned the new flour contains traces of hazelnuts, the customer would not have suffered an allergic reaction.",2_2
141,163,3,bakery,"Given how important the issue of nut allergies is, The email sender should have confirmed Sandra received the information or should have called here and informed her instead of emailing her. Sandra should have confirmed that the new flour did not contain nuts before she use it.",2_4,Anne should have read the email. She should also always check that new flour used does not contain nuts.. The bakery manager should have confirmed Anne read the email and is aware that the new flour contains nuts.,2_2
142,165,1,hospital,Dr. Jones would have been informed in a letter or face to face format,2_4,Would have read the email,2_2
143,166,3,bakery,"I Sandra had checked her spam folder and seen the manager's email, she would have known about the walnut in the flour and prevented the allergic reaction of her customer.",X,"If Anne had read the manager's email, she could either have chosen a different flour or warned her customer. In either case, the customer would not have suffered an allergic reaction.",2_2
144,168,1,hospital,"the email service had not marked the email as spam, and the doctor had read it",2_3,the doctor had read the email,2_2
145,170,2,garden,Alex had read the email,2_2,Bob had read the email,2_2
146,172,3,bakery,"the bug does not happen while the upgrade from e-mail service provider of Sandra, she might read the e-mail and might noticed the e-mail from the bakery manager and came to know that the Harvest flour contains traces of walnuts and avoided baking the cake",2_3,"Anne read the e-mail sent by bakery manager, she might come to know that the new Homestead contains hazenuts and she might avoided baking the cake",2_2
147,173,1,hospital,the doctor had done their own follow up research,2_5,"the doctor would have read the email, or done their own follow up research",2_2
148,174,2,garden,Alex read his email,2_2,Bob read the email or done some research,2_2
149,175,3,bakery,Sandra had known about the walnut traces,2_1,Anne had read the email,2_2
150,176,3,bakery,Sandra had gotten the email ,2_3,Anne had read the email,2_2
151,177,1,hospital,Dr. Jones have read the email or the pharmacy company tried other ways of contacting doctors about this drug then,2_2,Dr. Smith have read the email then ,2_2
152,179,3,bakery,"If Sandra would have gotten the email in the right folder, the customer would not have suffered an allergic reaction. ",2_3,"If Anne would have read the email and seen that the new flour had traces of hazelnut, the customer would not have suffered an allergic reaction. ",2_2
