StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q38,Q39,Q40,Q41,H_Check_fact_1,H_Check_mail_1,H_Check_read_1,H_Check_know_1,H_C_1_1,H_CF_1,H_K_1_1,H_B_1_1,H_Check_fact_2,H_Check_mail_2,H_Check_read_2,H_Check_know_2,H_C_2_1,H_CF_2,H_K_2_1,H_B_2_1,H_look_A1_1_1,H_look_A2_1_1,H_outcome_A1_1,H_outcome_A2_4,H_look_A2_2_1,H_look_A1_2_1,H_outcome_A2_1,H_outcome_A1_4,G_Check_fact_1,G_Check_mail_1,G_Check_read_1,G_Check_know_1,G_C_1_1,G_CF_1,G_K_1_1,G_B_1_1,G_Check_fact_2,G_Check_mail_2,G_Check_read_2,G_Check_know_2,G_C_2_1,G_CF_2,G_K_2_1,G_B_2_1,G_look_A1_1_1,G_look_A2_1_1,G_outcome_A1_1,G_outcome_A2_4,G_look_A2_2_1,G_look_A1_2_1,G_outcome_A2_1,G_outcome_A1_4,B_Check_fact_1,B_Check_mail_1,B_Check_read_1,B_Check_know_1,B_C_1_1,B_CF_1,B_K_1_1,B_B_1_1,B_Check_fact_2,B_Check_mail_2,B_Check_read_2,B_Check_know_2,B_C_2_1,B_CF_2,B_K_2_1,B_B_2_1,B_look_A1_1_1,B_look_A2_1_1,B_outcome_A1_1,B_outcome_A2_4,B_look_A2_2_1,B_look_A1_2_1,B_outcome_A2_1,B_outcome_A1_4,Age,Gender,Q390,SC0,condition,order
25/01/2021 15:56,25/01/2021 16:01,0,65.190.245.108,100,339,1,25/01/2021 16:01,R_2cBFkyL6nvZRFPN,,,,,36.03219604,-79.8588028,anonymous,EN,Emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,7,Alex were made aware of the truth and acted on this information,3,1,1,1,2,2,7,Bob read the email and it contained the information,2,1,63,39,37,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,,0,2,1
25/01/2021 15:58,25/01/2021 16:02,0,68.8.163.160,100,189,1,25/01/2021 16:02,R_31hpjWdtVQ0DeRg,,,,,32.76379395,-117.0699997,anonymous,EN,,Benjamin,,,,1,1,1,2,4,"the email had more information, then",1,1,1,2,2,2,7,Dr. Smith would have known that the medicine causes clots he might have used the other one.,1,6,,,,,15,88,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,,0,1,2
25/01/2021 15:55,25/01/2021 16:02,0,38.111.180.18,100,431,1,25/01/2021 16:02,R_2UYoSjTYqHnNX7d,,,,,39.90719604,-82.75530243,anonymous,EN,,Benjamin,,,,1,1,1,2,7,Dr Jones were more informed about the medications they prescribe to their patients,7,7,1,2,2,2,7,Dr Smith had read his email and was more responsible about the drugs he gives his patients.,7,7,,,,,23,81,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,,0,1,2
25/01/2021 15:51,25/01/2021 16:03,0,108.237.4.51,100,716,1,25/01/2021 16:03,R_xfnJaaJrqMrcR9v,,,,,35.49710083,-97.73300171,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,6,alex should have researched the fertilizer splendor or read on the packaging and he probaly could have found out splendor would kill his bourbon roses.,6,6,1,1,2,2,6,If Bob would have read the e-mail that told him Nutrit could harm the china roses.,6,6,,,,,13,88,88,14,,,,,,,,,,,,,,,,,,,,,,,,,58,1,no issies,0,2,2
25/01/2021 16:00,25/01/2021 16:03,0,104.222.27.33,100,173,1,25/01/2021 16:03,R_1JRPTyAvdm5SEpP,,,,,33.59030151,-101.9371033,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,the ingredients had been included in the email,1,1,1,2,2,2,5,Anne had read the email,7,5,,,,,63,85,41,8,21,2,,0,3,2
25/01/2021 15:59,25/01/2021 16:03,0,108.254.224.255,100,230,1,25/01/2021 16:03,R_2fYORQDpUurDqIF,,,,,34.6322937,-89.88549805,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,7,the email had contained the information about the flour containing traces of walnuts,1,1,1,1,2,2,7,the email had contained the nut allergy information and Anne had read the email,1,1,100,21,0,100,,,,,30,2,,100,3,1
25/01/2021 15:56,25/01/2021 16:04,0,67.164.74.58,100,469,1,25/01/2021 16:04,R_2saNq9QPxOW5lhn,,,,,37.66520691,-121.8733978,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,"If the general manager including the negative information about Splendor, the Bourbon roses would not have died.",1,1,1,1,2,2,2,"If the garden manager included the negative information about Nutrit and Bob read the email, the China roses would not have died.",1,1,,,,,27,94,95,5,,,,,,,,,,,,,,,,,,,,,,,,,55,2,Everything went well. Thank you.,0,2,2
25/01/2021 16:01,25/01/2021 16:05,0,97.81.175.24,100,211,1,25/01/2021 16:05,R_1FtD9YaJB4gnaZZ,,,,,36.21780396,-85.54229736,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,the email had all the relevant information,1,1,1,1,2,2,5,Bob had known about the fertilizer,1,1,100,30,17,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,1,,0,2,1
25/01/2021 15:58,25/01/2021 16:05,0,142.196.151.58,100,392,1,25/01/2021 16:05,R_w6JSy2E2nvlnkjf,,,,,28.55880737,-81.34950256,anonymous,EN,,Benjamin,,,,1,1,1,2,1,pharmacist notified the doctor in the email that there were side effects to patients with AB-positive blood type,1,1,1,1,2,2,1,the pharmacist included the side effect comment in the email and the doctor had read the email,1,7,95,74,96,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1,No additional comments.,0,1,1
25/01/2021 15:51,25/01/2021 16:06,0,8.44.142.84,100,865,1,25/01/2021 16:06,R_AN9lBh7OWtro9z3,,,,,37.75100708,-97.8219986,anonymous,EN,,Benjamin,,,,1,2,1,1,1,THEY NOT HAVE AB NEGATIVE ,1,2,1,2,2,2,1,THEY NOT HAVE B NEGATIVE BLOOD,1,4,,,,,100,44,72,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2,,0,1,2
25/01/2021 15:59,25/01/2021 16:11,0,98.203.189.89,100,737,1,25/01/2021 16:11,R_eyr4CV9zmbDGga5,,,,,47.07730103,-122.3921051,anonymous,EN,,,Ava,,,1,2,1,2,4,the pharmacy manager is more careful handling his/her duties,6,4,1,1,2,2,5,"
Dr Smith and the pharmacy manager are more careful handling their duties",7,7,,,,,28,90,80,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,,0,1,2
25/01/2021 16:11,25/01/2021 16:11,0,8.18.121.71,100,44,1,25/01/2021 16:11,R_shcpduIytZmL67v,,,,,37.75100708,-97.8219986,anonymous,EN,,It's a beautiful day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
25/01/2021 16:12,25/01/2021 16:12,0,8.18.121.71,100,28,1,25/01/2021 16:12,R_2BsA7kXCm4c3Gdb,,,,,37.75100708,-97.8219986,anonymous,EN,,,,polish ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
25/01/2021 16:12,25/01/2021 16:12,0,8.18.121.71,100,13,1,25/01/2021 16:12,R_1mf1yQIvxCa6q1g,,,,,37.75100708,-97.8219986,anonymous,EN,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
25/01/2021 16:09,25/01/2021 16:14,0,73.214.223.46,100,282,1,25/01/2021 16:14,R_32QPQZUCazNAfWp,,,,,40.59080505,-80.31549835,anonymous,EN,,,Ava,,,1,1,1,2,5,Dr. Jones would have proofread the email making sure it stated the side effects of users with blood type AB,7,5,1,1,1,2,4,Dr Smith would have proofread the email it would have been able to be added that there are side effects for patients with blood type b,6,6,50,54,50,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,,0,1,1
25/01/2021 15:51,25/01/2021 16:14,0,174.28.243.245,100,1340,1,25/01/2021 16:14,R_3PSJbibtFCUMC6i,,,,,35.14100647,-106.7109985,anonymous,EN,Emma,,,,,1,1,1,2,2,"If the pharmacy had included information about Afibo causing leg cramps in the email sent to Doctor Jones, the patient would not have suffered leg cramps.",2,2,1,1,2,2,2,"If the pharmacy manager had told Doctor Smith that Corus causes leg cramps, he would have prescribed something else and the patient would not have suffered leg cramps.",2,4,,,,,10,100,78,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1,Doctors are sometimes very careless.,0,1,2
25/01/2021 16:10,25/01/2021 16:14,0,23.84.70.152,100,252,1,25/01/2021 16:14,R_1FxMprVbmFiHP2l,,,,,38.65519714,-90.24949646,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,the manager provided this information in the email,5,2,1,1,2,2,2,the manager provided the info in the email and Anne read the email,4,3,100,39,100,100,,,,,25,2,none,200,3,1
25/01/2021 16:10,25/01/2021 16:15,0,24.244.154.167,100,262,1,25/01/2021 16:15,R_3paOGyRy2aKls2C,,,,,25.08329773,-77.34999847,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,the manager had put in the email that the fertilizer harms delicate rose types,1,1,1,2,2,2,6,bob had read the email from the manager,6,6,,,,,46,99,52,95,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,0,2,2
